record,record_len,record_days,missing_frac,condition,horizon,seed,n_gaps_requested,n_gaps_placed,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
HKZA,7166,49.8,0.1,MANY-SHORT,3,7,238,238,3,9.96,-23.499,-8.637,14.862,174
HKZA,7166,49.8,0.1,MANY-SHORT,3,8,238,238,3,9.96,-28.849,-9.406,19.444,221
HKZA,7166,49.8,0.1,MANY-SHORT,3,9,238,238,3,9.96,-24.142,-9.051,15.091,196
HKZA,7166,49.8,0.1,MANY-SHORT,3,10,238,238,3,9.96,-42.226,-11.255,30.971,208
HKZA,7166,49.8,0.1,MANY-SHORT,3,11,238,238,3,9.96,-21.602,-9.84,11.762,212
HKZA,7166,49.8,0.1,MANY-SHORT,3,12,238,238,3,9.96,-27.17,-10.317,16.853,177
HKZA,7166,49.8,0.1,MANY-SHORT,3,13,238,238,3,9.96,-56.846,-8.112,48.734,185
HKZA,7166,49.8,0.1,MANY-SHORT,3,14,238,238,3,9.96,-60.368,-7.174,53.194,161
HKZA,7166,49.8,0.1,MEDIUM,1,0,39,39,18,9.8,-14.284,-8.087,6.197,1126
HKZA,7166,49.8,0.1,MEDIUM,1,1,39,39,18,9.8,-9.957,-7.282,2.675,1101
HKZA,7166,49.8,0.1,MEDIUM,1,2,39,39,18,9.8,-11.223,-7.713,3.511,1042
HKZA,7166,49.8,0.1,MEDIUM,1,3,39,39,18,9.8,-9.641,-9.047,0.593,1067
HKZA,7166,49.8,0.1,MEDIUM,1,4,39,39,18,9.8,-8.464,-8.764,-0.3,1081
HKZA,7166,49.8,0.1,MEDIUM,1,5,39,39,18,9.8,-8.853,-6.677,2.176,1128
HKZA,7166,49.8,0.1,MEDIUM,1,6,39,39,18,9.8,-13.242,-9.84,3.402,1118
HKZA,7166,49.8,0.1,MEDIUM,1,7,39,39,18,9.8,-8.625,-9.947,-1.322,1115
HKZA,7166,49.8,0.1,MEDIUM,1,8,39,39,18,9.8,-9.307,-7.177,2.13,1110
HKZA,7166,49.8,0.1,MEDIUM,1,9,39,39,18,9.8,-28.202,-9.987,18.214,1122
HKZA,7166,49.8,0.1,MEDIUM,1,10,39,39,18,9.8,-50.815,-9.978,40.837,1161
HKZA,7166,49.8,0.1,MEDIUM,1,11,39,39,18,9.8,-15.136,-8.651,6.485,1066
HKZA,7166,49.8,0.1,MEDIUM,1,12,39,39,18,9.8,-15.047,-7.634,7.412,1063
