rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,ratio_honest,ratio_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_test_honest,n_test_naive,n_train_honest,test_target_mean,test_target_std,test_target_sddiff,test_start,test_end,pred_std,pred_min,pred_max,rmse_bias,bias,record,record_len,missing_frac,condition,horizon,seed,gap_len,n_gaps_requested,n_gaps_placed
0.5126125471829692,0.5744125186165714,0.5750583451984757,0.616106096507143,1.1205588348806912,1.0713801506428016,-12.055883488069119,-7.1380150642801565,0.06179997143360216,0.041047751308667335,850,1046,2587,8.221968235294119,3.7827488545551184,0.5324009787450605,2025-09-21 15:20:00,2025-09-29 04:20:00,3.6325159072875977,1.4802279472351074,14.135709762573242,-0.020752220124934828,4.9178684237889625,HKWB,4459,0.05,MEDIUM,1,1,18,12,12
0.4794792534198888,0.5088645567265516,0.5262737357431762,0.5669381180211601,1.061285870237496,1.077268500242673,-6.12858702374961,-7.7268500242672955,0.029385303306662836,0.04066438227798397,852,1046,2594,8.398220657276996,3.697241077177111,0.4893304920413305,2025-09-21 15:00:00,2025-09-29 04:20:00,3.630941152572632,1.2168055772781372,13.87350845336914,0.011279078971321133,-1.5982630005176857,HKWB,4459,0.05,MEDIUM,1,2,18,12,12
0.5272163365424495,0.6687914670363597,0.5691423498039345,0.6684088279346235,1.2685332769131883,1.1744141481738015,-26.853327691318828,-17.441414817380153,0.14157513049391024,0.099266478130689,870,1046,2649,7.725062068965517,3.704257855875332,0.5428687512503977,2025-09-21 18:10:00,2025-09-29 04:20:00,3.513993501663208,2.3319203853607178,14.107512474060059,-0.04230865236322123,9.411912873938675,HKWB,4459,0.05,MEDIUM,1,3,18,12,12
0.6109729755275833,0.6653152822020514,0.5912941626693802,0.6387679517361996,1.0889438794367996,1.080287937990966,-8.894387943679959,-8.0287937990966,0.054342306674468044,0.04747378906681943,863,1046,2628,8.481849362688298,3.3790645726808237,0.6664155368223321,2025-09-21 09:00:00,2025-09-29 04:20:00,3.283980369567871,1.5764884948730469,14.147136688232422,-0.0068685176076486165,0.8655941445833584,HKWB,4459,0.05,MEDIUM,1,4,18,12,12
0.5241254698263095,0.5732444558934195,0.5332827867020783,0.5898039761629921,1.0937160830657355,1.105987275176181,-9.371608306573552,-10.598727517618102,0.04911898606711007,0.05652118946091378,862,1046,2623,8.251899071925754,3.485271544714066,0.5288294738777745,2025-09-22 02:30:00,2025-09-29 04:20:00,3.3562259674072266,1.4831185340881348,14.5281982421875,0.007402203393803708,-1.227119211044549,HKWB,4459,0.05,MEDIUM,1,5,18,12,12
0.5507868794512576,0.5995073504697687,0.5363376845371622,0.5748409852996679,1.0884561212987693,1.0717892884885245,-8.845612129876933,-7.1789288488524505,0.04872047101851107,0.03850330076250563,879,1046,2674,8.536358361774745,3.5412652363999433,0.5882471288473611,2025-09-21 23:40:00,2025-09-29 04:20:00,3.374350070953369,1.5473664999008179,14.175093650817871,-0.010217170256005437,1.6666832810244827,HKWB,4459,0.05,MEDIUM,1,6,18,12,12
0.5345508423382163,0.6486385811159623,0.5915636900844964,0.6465049571039273,1.2134272921144542,1.0928746438301231,-21.342729211445423,-9.287464383012312,0.11408773877774603,0.05494126701943092,854,1046,2601,8.7634906323185,4.8355837976848415,0.5867053022120677,2025-09-20 12:20:00,2025-09-29 04:20:00,4.652721881866455,1.586199164390564,21.115110397338867,-0.05914647175831511,12.055264828433112,HKWB,4459,0.05,MEDIUM,1,7,18,12,12
0.5896117868847683,0.9541558438463988,0.57243863715497,0.6312527081550591,1.618278102762684,1.1027430141550123,-61.8278102762684,-10.274301415501231,0.3645440569616305,0.05881407100008906,861,1046,2621,8.185168408826947,3.562394014656022,0.6014420935211577,2025-09-21 13:30:00,2025-09-29 04:20:00,3.1624560356140137,3.2917842864990234,14.161030769348145,-0.30572998596154144,51.55350886076717,HKWB,4459,0.05,MEDIUM,1,8,18,12,12
0.5922489829529958,0.662911132873416,0.5802427337064382,0.6421374608235437,1.1193115597566645,1.106670404507676,-11.931155975666453,-10.667040450767606,0.07066214992042019,0.06189472711710553,858,1046,2612,8.663562937062936,4.608287618032803,0.6165802488656077,2025-09-20 17:10:00,2025-09-29 04:20:00,4.458241939544678,1.3992767333984375,21.100860595703125,-0.008767422803314662,1.2641155248988465,HKWB,4459,0.05,MEDIUM,1,9,18,12,12
0.47929843966578384,0.5703309539900118,0.5791456348346178,0.6217048555982934,1.1899286682170407,1.0734862152174018,-18.99286682170407,-7.348621521740184,0.09103251432422793,0.042559220763675576,872,1046,2654,8.73787614678899,4.348183533087428,0.4829713184918931,2025-09-21 00:50:00,2025-09-29 04:20:00,4.248319149017334,1.4848742485046387,21.317968368530273,-0.048473293560552355,11.644245299963885,HKWB,4459,0.05,MEDIUM,1,10,18,12,12
