record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
D2_BUOY,6,9,19,1.3552224972991787,1.4921980671472819,1.4661426113265605,1.44453868522318,0.9243456174246093,1.0329928041468397,0.0,8.0
D2_BUOY,6,10,19,1.5333094754055432,1.712337689373562,1.4661426113265605,1.44453868522318,1.0458119582365937,1.1853872152333582,0.05263157894736842,8.0
D2_BUOY,6,11,19,1.4558356882534629,1.4990284817592205,1.4661426113265605,1.44453868522318,0.9929700405721296,1.0377212442238068,0.05263157894736842,8.0
D2_BUOY,6,12,19,1.8784018703005712,1.6532327905974826,1.4661426113265605,1.44453868522318,1.2811863292077705,1.1444711086723576,0.05263157894736842,8.0
D3_ONSHORE,1,1,997,1.1000556200035088,1.0528536607847374,0.6633533989161832,0.6527659738709164,1.658325142828588,1.6129113693553792,0.21063189568706117,4.0
D3_ONSHORE,1,2,787,0.9169750280313183,0.8903816477293657,0.6633533989161832,0.6527659738709164,1.3823325990784303,1.3640135720454043,0.12833545108005082,4.0
D3_ONSHORE,1,3,686,0.9026132291294078,0.8663303143033849,0.6633533989161832,0.6527659738709164,1.3606823008733175,1.3271683099013685,0.08017492711370262,4.0
D3_ONSHORE,1,4,631,0.8432536413470195,0.8170068338820692,0.6633533989161832,0.6527659738709164,1.271198191981477,1.2516075693057358,0.08716323296354993,4.0
D3_ONSHORE,1,5,576,0.8090131376834646,0.7956355237837183,0.6633533989161832,0.6527659738709164,1.2195809036409053,1.2188679490531382,0.043402777777777776,4.0
D3_ONSHORE,1,6,551,0.7515745118243143,0.7417621165246877,0.6633533989161832,0.6527659738709164,1.1329926296484962,1.136336981730255,0.043557168784029036,4.0
D3_ONSHORE,1,7,527,0.9134480207037039,0.8849458258215365,0.6633533989161832,0.6527659738709164,1.377015663439935,1.3556862049254628,0.051233396584440226,4.0
D3_ONSHORE,1,8,500,0.7382173121784668,0.7219969410113852,0.6633533989161832,0.6527659738709164,1.112856756872882,1.1060578674619446,0.028,4.0
D3_ONSHORE,1,9,486,0.7648347679219495,0.7497440440687759,0.6633533989161832,0.6527659738709164,1.1529823607922582,1.1485648365259873,0.024691358024691357,4.0
D3_ONSHORE,1,10,474,0.7202222172316631,0.7105640420864046,0.6633533989161832,0.6527659738709164,1.085729293628999,1.0885433226133776,0.035864978902953586,4.0
D3_ONSHORE,1,11,457,0.7295818771982382,0.7039517006365656,0.6633533989161832,0.6527659738709164,1.099838906969139,1.0784135950930727,0.03938730853391685,4.0
D3_ONSHORE,1,12,439,0.7647692343293926,0.7567751016024031,0.6633533989161832,0.6527659738709164,1.1528835694200215,1.1593360130502979,0.04555808656036447,4.0
D3_ONSHORE,3,1,997,1.5723424826188295,1.3890014880518529,1.047432721697488,1.0068783394735366,1.5011393572569163,1.3795127311787398,0.36710130391173523,4.0
D3_ONSHORE,3,2,787,1.4228050930854106,1.2958086145346748,1.047432721697488,1.0068783394735366,1.3583737299896337,1.2869564909025755,0.2681067344345616,4.0
D3_ONSHORE,3,3,686,1.4202381437067695,1.3050268727945977,1.047432721697488,1.0068783394735366,1.3559230242541083,1.2961117760035967,0.1967930029154519,4.0
D3_ONSHORE,3,4,631,1.4201709122384898,1.3276385314425962,1.047432721697488,1.0068783394735366,1.3558588373455966,1.318568966471932,0.1648177496038035,4.0
D3_ONSHORE,3,5,576,1.3327862810043227,1.2667435866941823,1.047432721697488,1.0068783394735366,1.2724313966861622,1.2580900164726165,0.13194444444444445,4.0
D3_ONSHORE,3,6,551,1.2959893459264975,1.2213459261182344,1.047432721697488,1.0068783394735366,1.2373008013595321,1.2130024832561557,0.11796733212341198,4.0
D3_ONSHORE,3,7,527,1.3243736122770022,1.2447078310819875,1.047432721697488,1.0068783394735366,1.2643996935007902,1.2362047948442352,0.10056925996204934,4.0
D3_ONSHORE,3,8,500,1.2141171277928666,1.1744991568914287,1.047432721697488,1.0068783394735366,1.1591361455896156,1.1664757407588444,0.086,4.0
D3_ONSHORE,3,9,486,1.1067592553860646,1.0741219698379332,1.047432721697488,1.0068783394735366,1.0566399468525587,1.0667842655146957,0.09670781893004116,4.0
D3_ONSHORE,3,10,474,1.1615816548690283,1.0935565087458843,1.047432721697488,1.0068783394735366,1.1089797280598115,1.0860860402634829,0.1160337552742616,4.0
D3_ONSHORE,3,11,457,1.2182974093711787,1.1453467124137817,1.047432721697488,1.0068783394735366,1.1631271241906445,1.137522446865473,0.1050328227571116,4.0
D3_ONSHORE,3,12,439,1.279581188601659,1.2193362158311565,1.047432721697488,1.0068783394735366,1.2216356832235937,1.2110065020057013,0.09567198177676538,4.0
