model,rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_train_honest,n_test_honest,n_train_naive,n_test_naive,test_start,test_end,test_target_std,bias,rmse_bias,record,record_len,record_days,missing_frac,condition,horizon,replicate,origin,nominal_gap_len,n_gaps_placed,mean_gap_len,achieved_missing_pct,intact_rp,rp_h_over_intact
XGBoost,0.906814371753821,1.0154349943104306,0.8713674368967627,0.8926110363814949,-11.97826434384055,-2.4379611384593325,0.10862062255660965,0.0212435994847322,2256,830,2782,952,2024-01-09 02:40:00,2024-01-15 23:20:00,2.904763722472512,9.540303205381218,-0.08737702307187745,HKWA,4007,27.8,0.05,MEDIUM,1,8,3,18,11,18.2,4.991,0.6229,1.456
XGBoost,1.0363711475892965,1.0551817564625081,0.968740421473061,0.9876211273861448,-1.8150455960653566,-1.9489953649682423,0.01881060887321162,0.018880705913083773,2622,540,3019,715,2024-01-10 12:00:00,2024-01-15 23:20:00,2.5750924316144506,-0.13394976890288568,7.009703987215232e-05,HKWA,4007,27.8,0.05,MEDIUM,1,9,4,18,11,18.2,4.991,0.6229,1.664
XGBoost,0.5987672303811757,0.754159307526028,0.5742956491355595,0.712642578714699,-25.952000921281137,-24.08984462748096,0.15539207714485226,0.13834692957913952,1870,785,2217,948,2024-01-04 22:30:00,2024-01-11 21:20:00,2.8503994932750976,1.8621562938001759,-0.017045147565712737,HKWA,4007,27.8,0.05,MEDIUM,1,10,0,18,11,18.2,4.991,0.6229,0.961
XGBoost,0.5821511166259431,0.6692484573180174,0.6047326412295114,0.6445876549741565,-14.961294104677991,-6.590518028531411,0.08709734069207431,0.03985501374464506,2121,788,2436,950,2024-01-06 07:50:00,2024-01-13 06:40:00,2.6544207220354443,8.37077607614658,-0.04724232694742925,HKWA,4007,27.8,0.05,MEDIUM,1,11,1,18,11,18.2,4.991,0.6229,0.935
XGBoost,0.6498577665830587,0.7199932315016563,0.6302709405942724,0.6706186154840363,-10.792433133079049,-6.401639722072661,0.07013546491859757,0.040347674889763985,2247,685,2618,929,2024-01-07 17:10:00,2024-01-14 16:00:00,2.71634340574412,4.390793411006388,-0.029787790028833583,HKWA,4007,27.8,0.05,MEDIUM,1,12,2,18,11,18.2,4.991,0.6229,1.043
XGBoost,0.9320843491761546,0.9466419821568856,0.8758720057701372,0.8996697634896236,-1.5618364361120518,-2.7170360010035255,0.014557632980730983,0.023797757719486334,2392,671,2819,915,2024-01-09 02:40:00,2024-01-15 23:20:00,3.0186733459998494,-1.1551995648914737,0.009240124738755351,HKWA,4007,27.8,0.05,MEDIUM,1,13,3,18,11,18.2,4.991,0.6229,1.496
XGBoost,0.9994062010899621,1.1441575483716622,0.9548903343665526,0.9909788399432624,-14.483735154317912,-3.779335100365211,0.14475134728170003,0.03608850557670984,2508,628,2984,750,2024-01-10 12:00:00,2024-01-15 23:20:00,2.972971492954618,10.704400053952702,-0.10866284170499019,HKWA,4007,27.8,0.05,MEDIUM,1,14,4,18,11,18.2,4.991,0.6229,1.605
XGBoost,0.6162270706601416,0.6990460624068164,0.5932408585429073,0.6788421582608832,-13.439687363613206,-14.429434265236907,0.08281899174667484,0.08560129971797592,1835,765,2217,948,2024-01-04 22:30:00,2024-01-11 21:20:00,2.800317525836235,-0.9897469016237004,0.002782307971301079,HKWA,4007,27.8,0.05,MEDIUM,1,15,0,18,11,18.2,4.991,0.6229,0.989
XGBoost,0.6147259989324031,0.6670689573133651,0.6096271124596442,0.6587325229954063,-8.51484376321585,-8.0549912449986,0.052342958380962035,0.04910541053576212,2073,651,2436,911,2024-01-06 07:50:00,2024-01-13 06:40:00,2.7228769824679806,0.45985251821725015,-0.0032375478451999173,HKWA,4007,27.8,0.05,MEDIUM,1,16,1,18,11,18.2,4.991,0.6229,0.987
XGBoost,0.6066928064763246,0.6576108002109575,0.625450612355552,0.6805772021628512,-8.39271426842274,-8.813899725780615,0.050917993734632905,0.05512658980729923,2070,923,2563,984,2024-01-07 17:10:00,2024-01-14 16:00:00,2.6943942002794405,-0.4211854573578755,0.004208596072666326,HKWA,4007,27.8,0.05,MEDIUM,1,17,2,18,11,18.2,4.991,0.6229,0.974
